City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
363,kungurtug,50.5994,97.5228,35.19,49,40,1.23,RU,1635043305
364,kloulklubed,7.0419,134.2556,86.5,71,9,4.65,PW,1635043307
365,mount gambier,-37.8333,140.7667,57.11,58,90,12.66,AU,1635043309
366,jibuti,11.5,42.5,78.22,63,5,9.08,DJ,1635043183
367,isugod,9.3408,118.1196,80.73,74,100,2.01,PH,1635043316
368,bunia,1.5667,30.25,62.58,93,15,2.86,CD,1635043320
369,ilyich,40.8464,68.5067,47.46,35,0,0.63,KZ,1635043322
370,acarau,-2.8856,-40.12,79.47,81,91,11.65,BR,1635043325
371,amga,60.8953,131.9608,33.62,98,100,7.76,RU,1635043327
372,evensk,61.95,159.2333,16.47,68,67,11.25,RU,1635043330
373,san juan,-31.5375,-68.5364,66.13,24,0,7.83,AR,1635043240
374,kuching,1.55,110.3333,86.22,74,40,2.3,MY,1635043266
375,fonte boa,-2.4959,-66.2662,78.04,84,39,2.42,BR,1635043336
376,xai-xai,-25.0519,33.6442,70.23,80,82,27.47,MZ,1635043338
377,viedma,-40.8135,-62.9967,46.02,30,1,11.99,AR,1635043225
378,esterhazy,50.65,-102.0843,34.65,69,100,14.56,CA,1635043343
379,vanavara,60.34,102.2797,33.08,95,100,12.88,RU,1635043345
380,kamarion,36.8,25.8167,64.92,73,0,6.98,GR,1635043348
381,baghdad,33.3406,44.4009,64.31,42,0,2.3,IQ,1635043327
382,cockburn town,21.4612,-71.1419,82.98,69,95,19.44,TC,1635043352
383,ormara,25.2088,64.6357,77.72,23,0,9.26,PK,1635043354
384,creston,41.0586,-94.3614,52.54,57,100,12.39,US,1635043363
385,lorengau,-2.0226,147.2712,85.37,68,98,9.4,PG,1635043365
386,andilamena,-17.0167,48.5833,65.64,92,37,2.93,MG,1635043370
387,xuddur,4.1213,43.8894,71.28,93,2,8.61,SO,1635043372
388,buraydah,26.326,43.975,68.45,25,0,9.24,SA,1635043374
389,batemans bay,-35.7167,150.1833,73.98,37,11,9.28,AU,1635043376
390,lamont,35.2597,-118.9143,66.0,50,97,4.63,US,1635043379
391,disna,55.568,28.1971,36.77,78,100,12.5,BY,1635043383
392,aksarka,66.5606,67.7975,25.59,82,98,17.0,RU,1635043386
393,kavaratti,10.5669,72.642,80.8,76,73,2.24,IN,1635043388
394,palu,-0.8917,119.8707,87.44,67,87,3.56,ID,1635043391
395,qurayyat,31.3318,37.3428,57.38,72,0,11.5,SA,1635043117
396,ulaangom,49.9811,92.0667,39.85,42,79,4.09,MN,1635043395
397,camacha,33.0833,-16.3333,66.96,64,75,6.91,PT,1635043398
398,richards bay,-28.783,32.0377,66.42,76,100,16.55,ZA,1635043400
399,trincomalee,8.5711,81.2335,80.8,79,82,11.92,LK,1635043402
400,karratha,-20.7377,116.8463,92.98,21,6,18.28,AU,1635043405
401,marang,5.2056,103.2059,84.11,70,70,2.59,MY,1635043407
402,half moon bay,37.4636,-122.4286,64.71,77,90,1.99,US,1635043411
403,kaeo,-35.1,173.7833,65.32,97,54,4.25,NZ,1635043414
404,harindanga,22.0383,88.3214,82.38,70,8,5.48,IN,1635043416
405,alamosa,37.4695,-105.87,47.71,31,99,5.28,US,1635043265
406,hambantota,6.1241,81.1185,79.14,94,20,9.22,LK,1635043370
407,hargeysa,9.56,44.065,61.65,90,8,10.36,SO,1635043422
408,kalianget,-7.05,113.9333,87.46,62,89,4.88,ID,1635043425
409,mmabatho,-25.85,25.6333,53.56,58,0,10.36,ZA,1635043427
410,iqaluit,63.7506,-68.5145,31.73,80,90,17.0,CA,1635043429
411,ayan,56.45,138.1667,41.38,57,97,6.91,RU,1635043432
412,bambui,-20.0064,-45.9769,74.44,53,82,5.61,BR,1635043134
413,russell,32.3502,-85.1999,58.23,82,1,0.0,US,1635043436
414,itarema,-2.9248,-39.9167,79.56,80,72,11.81,BR,1635043414
415,berlevag,70.8578,29.0864,37.22,63,91,21.92,NO,1635043441
416,lobatse,-25.2167,25.6667,52.92,52,1,10.67,BW,1635043443
417,zhuhai,22.2769,113.5678,75.97,77,40,19.57,CN,1635043447
418,ellisras,-23.6649,27.7443,68.58,17,0,4.27,ZA,1635043450
419,tucurui,-3.7661,-49.6725,73.89,93,78,2.46,BR,1635043452
420,kiama,-34.6833,150.8667,73.99,56,39,13.69,AU,1635043454
421,gravdal,68.1214,13.5031,37.49,95,100,13.67,NO,1635043457
422,bilibino,68.0546,166.4372,-8.93,99,87,1.72,RU,1635043459
423,mehamn,71.0357,27.8492,36.5,63,98,18.39,NO,1635043461
424,nemuro,43.3236,145.575,55.83,63,11,15.55,JP,1635043284
425,naze,28.3667,129.4833,70.72,65,99,20.45,JP,1635043466
426,bay roberts,47.5999,-53.2648,60.55,96,100,5.01,CA,1635043470
427,sterling,39.0062,-77.4286,55.85,85,20,5.99,US,1635043291
428,kilindoni,-7.9139,39.6668,78.22,75,70,8.59,TZ,1635043475
429,cosala,24.4125,-106.6908,71.46,96,0,0.85,MX,1635043477
430,margate,51.3813,1.3862,55.9,74,15,4.0,GB,1635043479
431,shache,38.4167,77.2406,50.88,27,9,1.88,CN,1635043484
432,garhi khairo,28.0606,67.9803,75.34,41,0,4.07,PK,1635043486
433,zlotow,53.3635,17.0408,31.44,92,56,6.11,PL,1635043488
434,ko samui,9.5357,99.9357,85.91,79,20,4.61,TH,1635043491
435,fare,-16.7,-151.0167,77.76,83,88,14.58,PF,1635043493
436,gualaquiza,-3.4,-78.55,63.91,99,100,1.48,EC,1635043495
437,sungaipenuh,-2.0833,101.3833,74.44,76,98,2.33,ID,1635043498
438,tiznit,29.5833,-9.5,61.79,65,24,1.16,MA,1635043500
439,brae,60.3964,-1.353,51.71,94,100,18.16,GB,1635043502
440,yatou,37.15,122.3833,60.13,43,4,4.12,CN,1635043505
441,hami,42.8,93.45,48.97,42,100,2.42,CN,1635043508
442,erzin,36.9559,36.2,55.92,58,0,2.39,TR,1635043510
443,pontecorvo,41.4616,13.6667,63.45,80,96,5.64,IT,1635043512
444,lompoc,34.6391,-120.4579,64.38,84,1,20.0,US,1635043407
445,semey,50.4111,80.2275,44.82,61,0,22.37,KZ,1635043517
446,porlamar,10.958,-63.8491,80.26,79,42,16.58,VE,1635043502
447,wabag,-5.4781,143.7021,72.3,47,16,6.73,PG,1635043522
448,klaksvik,62.2266,-6.589,49.12,90,100,13.47,FO,1635043524
449,aleksandrovskoye,44.7142,43.0008,37.54,80,100,6.93,RU,1635043527
450,phangnga,8.4509,98.5298,84.9,68,66,2.73,TH,1635043529
451,amurzet,47.6967,131.0981,55.92,32,0,8.93,RU,1635043531
452,santa vitoria do palmar,-33.5189,-53.3681,54.34,96,49,8.21,BR,1635043534
